maturity,maturitydescription
1,"Female: Immature, string like, two lobes  Male: Immature, ribbon like, four lobes"
3,"Female: Maturing, large, white-pink, ova visible  Male: Mature, much enlarged, white lobes"
2,"Female: Immature, enlarging loes, no ova  Male: Immature, four distinct ribbons, light pink, enlarging"
5,"Female: Spent, deflated, flaccid, bloodshot Male: Spent, large, shriveled, wrinkled, no sperm"
NA,NA
4,"Female: Spawning, ova loose, extrude under pressure  Male: Spawning, sperm extruded under pressure"
6,NA
